ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6305574;0509205;0509205;0.00;7;
13369;6305574;0509206;0509206;0.00;1;
13369;6305574;0509206;0509206;0.00;7;
13369;6305574;0509207;0509207;0.00;1;
13369;6305574;0509207;0509207;0.00;7;
13369;6305574;0509210;0509210;0.00;1;
13369;6305574;0509210;0509210;0.00;7;
13369;6305574;0509212;0509212;0.00;1;
13369;6305574;0509212;0509212;0.00;7;
13369;6305574;0509213;0509213;0.00;1;
13369;6305574;0509213;0509213;0.00;7;
13369;6305574;0509401;0509401;0.00;1;
13369;6305574;0509401;0509401;0.00;7;
13369;6305574;PNU000000017;0523405;0.00;1;
13369;6305574;PNU000000017;0523405;0.00;7;
13369;6305574;PNU000000006;0540302;0.00;1;
13369;6305574;PNU000000006;0540302;0.00;7;
13369;6305574;PNU000000036;0542502;0.00;1;
13369;6305574;PNU000000036;0542502;0.00;7;
13369;6305574;PNU000000024;0557902;0.00;1;
13369;6305574;PNU000000024;0557902;0.00;7;
13369;6305574;PNU000000065;0567402;0.00;1;
13369;6305574;PNU000000065;0567402;0.00;7;
13369;6305574;PNU000000011;0574902;0.00;1;
13369;6305574;PNU000000011;0574902;0.00;7;
13369;6305574;PNU000000080;0597202;0.00;1;
13369;6305574;PNU000000080;0597202;0.00;7;
13369;6305574;0602701;0602701;0.00;1;
13369;6305574;0602701;0602701;0.00;7;
13369;6305574;PNU000000078;0617704;0.00;1;
13369;6305574;PNU000000078;0617704;0.00;7;
13369;6305574;PNU000000095;0631004;0.00;1;
13369;6305574;PNU000000095;0631004;0.00;7;
13369;6305574;PNU000000043;0645502;0.00;1;
13369;6305574;PNU000000043;0645502;0.00;7;
13369;6305574;PNU000000124;0649202;0.00;1;
13369;6305574;PNU000000124;0649202;0.00;7;
13369;6305574;PNU000000013;0658203;0.00;1;
13369;6305574;PNU000000013;0658203;0.00;7;
13369;6305574;PNU000000012;0658603;0.00;1;
13369;6305574;PNU000000012;0658603;0.00;7;
13369;6305574;PNU000000038;0658604;0.00;1;
13369;6305574;PNU000000038;0658604;0.00;7;
13369;6305574;PNU000000039;0672002;0.00;1;
13369;6305574;PNU000000039;0672002;0.00;7;
13369;6305574;PNU000000042;0672502;0.00;1;
13369;6305574;PNU000000042;0672502;0.00;7;
13369;6305574;PNU000000059;0672902;0.00;1;
13369;6305574;PNU000000059;0672902;0.00;7;
13369;6305574;PNU000000048;0675002;0.00;1;
13369;6305574;PNU000000048;0675002;0.00;7;
13369;6305574;PNU000000049;0675702;0.00;1;
13369;6305574;PNU000000049;0675702;0.00;7;
13369;6305574;PNU000000050;0675802;0.00;1;
13369;6305574;PNU000000050;0675802;0.00;7;
13369;6305574;PNU000000076;0677006;0.00;1;
13369;6305574;PNU000000076;0677006;0.00;7;
13369;6305574;PNU000000069;0702203;0.00;1;
13369;6305574;PNU000000069;0702203;0.00;7;
13369;6305574;PNU000000096;0714803;0.00;1;
13369;6305574;PNU000000096;0714803;0.00;7;
13369;6305574;PNU000000088;0720803;0.00;1;
13369;6305574;PNU000000088;0720803;0.00;7;
13369;6305574;PNU000000087;0722702;0.00;1;2024-06-21
13369;6305574;PNU000000087;0722702;0.00;7;2024-06-21
13369;6305574;PNU000000125;0730004;0.00;1;
13369;6305574;PNU000000125;0730004;0.00;7;
13369;6305574;PNU000000108;0731403;0.00;1;
13369;6305574;PNU000000108;0731403;0.00;7;
13369;6305579;PNU000000024;0557902;0.00;2;
13369;6305674;PNU000000065;0567402;0.00;2;
13369;6305749;PNU000000011;0574902;0.00;2;
13369;6305972;PNU000000080;0597202;0.00;2;
13369;6306027;0602701;0602701;0.00;2;
13369;6306177;PNU000000078;0617704;0.00;2;
